country,year,iso_code,population,gdp,biofuel_cons_per_capita,biofuel_consumption,biofuel_electricity,biofuel_share_energy,electricity_generation,energy_per_capita,oil_consumption,renewables_share_energy,continent,gdp_per_capita,biofuel_consumption_lag1,biofuel_share_energy_lag1,gdp_per_capita_lag1,biofuel_cagr_5y,top80_consumer
Angola,2004,AGO,18600426.0,41307235678.0,0.0,0.0,0.0,,2.24,2298.005,,,Africa,2220.768259716202,0.0,,1955.0780067430842,,0
Angola,2005,AGO,19291160.0,51967661783.0,0.0,0.0,0.0,,2.63,1815.006,,,Africa,2693.8588339425933,0.0,,2220.768259716202,,0
Angola,2006,AGO,20015281.0,66749579296.0,0.0,0.0,0.0,,2.98,2215.237,,,Africa,3334.9309108375746,0.0,,2693.8588339425933,,0
Angola,2007,AGO,20778570.0,87086353818.0,0.0,0.0,0.0,,3.24,2511.339,,,Africa,4191.162039447373,0.0,,3334.9309108375746,,0
Angola,2008,AGO,21578656.0,105593132748.0,0.0,0.0,0.0,,4.05,2818.649,,,Africa,4893.406370999195,0.0,,4191.162039447373,,0
Angola,2009,AGO,22414775.0,115247846475.0,0.0,0.0,0.0,,4.91,3137.766,,,Africa,5141.601754869277,0.0,,4893.406370999195,,0
Angola,2010,AGO,23294822.0,126984175354.0,0.0,0.0,0.0,,5.46,3278.897,,,Africa,5451.17603190958,0.0,,5141.601754869277,,0
Angola,2011,AGO,24218358.0,140477268750.0,0.0,0.0,0.0,,5.66,3298.733,,,Africa,5800.445626825733,0.0,,5451.17603190958,,0
Angola,2012,AGO,25177398.0,152476849129.0,0.0,0.0,0.0,,7.72,3419.703,,,Africa,6056.100361482946,0.0,,5800.445626825733,,0
Angola,2013,AGO,26165616.0,160032073258.0,0.0,0.0,0.0,,8.15,3570.166,,,Africa,6116.120990921827,0.0,,6056.100361482946,,0
Angola,2014,AGO,27160767.0,167750415635.0,0.0,0.0,0.04,,9.56,3800.598,,,Africa,6176.203184357791,0.0,,6116.120990921827,,0
Angola,2015,AGO,28157802.0,169333972139.0,0.0,0.0,0.04,,9.78,3852.95,,,Africa,6013.749657697003,0.0,,6176.203184357791,,0
Angola,2016,AGO,29183072.0,164965166058.0,0.0,0.0,0.05,,10.98,3330.99,,,Africa,5652.769045630289,0.0,,6013.749657697003,,0
Angola,2017,AGO,30234836.0,164717711409.0,0.0,0.0,0.05,,10.81,2774.095,,,Africa,5447.944596392056,0.0,,5652.769045630289,,0
